Timestamp;RF Frequency;Polarisations;Pulse Widths;PRI;Number of PRIs;Scene Description
19_9_3_12_24_12;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_12_24_52;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_12_25_36;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_12_30_15;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_12_30_38;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_12_52_56;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_13_1_17;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_13_3_6;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_13_4_13;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_13_4_34;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_13_5_3;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_13_14_1;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_13_14_27;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_13_14_55;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_13_15_17;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_13_15_40;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_13_16_4;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_13_16_25;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_13_25_2;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_13_26_45;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_13_27_14;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_13_27_35;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_13_28_33;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_13_29_5;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_13_29_28;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_13_29_54;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_13_30_43;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_13_31_10;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_13_32_53;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_13_34_56;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_13_46_51;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_13_47_29;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_13_48_9;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_13_51_54;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_13_54_47;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_13_59_54;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_14_0_48;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_14_2_0;[1300.0];[1];[5.0];[1001.0];100000;No Notes. Change in text file if necessary.
19_9_3_14_7_19;[1300.0];[1];[5.0];[10000.0];100000;No Notes. Change in text file if necessary.
19_9_3_14_15_51;[1300.0];[1];[5.0];[100000.0];10000;No Notes. Change in text file if necessary.
19_9_3_14_16_49;[1300.0];[1];[5.0];[100000.0];10000;No Notes. Change in text file if necessary.
19_9_3_14_38_17;[1300.0];[1];[5.0];[1000.0];10000;No Notes. Change in text file if necessary.
19_9_3_14_41_47;[1300.0];[1];[5.0];[1000.0];10000;No Notes. Change in text file if necessary.
19_9_3_14_43_9;[1300.0];[1];[5.0];[1000.0];10000;No Notes. Change in text file if necessary.
19_9_3_14_43_55;[1300.0];[1];[5.0];[1000.0];10000;No Notes. Change in text file if necessary.
