Timestamp;RF Frequency;Polarisations;Pulse Widths;PRI;Number of PRIs;Experiment;Notes
19_11_26_9_16_53;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_9_18_23;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_9_18_48;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_9_20_13;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_9_20_41;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_9_21_17;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_9_22_10;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_9_22_39;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_9_23_33;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_9_24_45;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_9_44_16;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_9_47_11;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_9_50_26;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_9_53_20;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_9_53_55;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_9_54_22;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_9_54_47;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_9_55_35;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_9_56_8;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_9_56_50;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_9_57_14;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_9_58_12;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_9_59_5;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_10_0_48;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_10_5_11;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_10_6_14;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_10_8_12;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_10_9_35;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_10_13_53;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_10_16_42;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_10_17_27;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_10_19_34;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_10_24_43;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_10_25_31;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_10_31_9;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_10_31_45;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_10_33_12;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_10_34_5;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_10_36_4;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_10_37_13;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_10_40_8;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
